"SECONDS";"PID";"VALUE";"UNITS";
"55085.896103";"Short term fuel % trim - Bank 1";"0";"%";
"55086.182103";"Long term fuel % trim - Bank 1";"-3.125";"%";
"55086.401103";"Calculated boost";"-0.57325";"bar";
"55086.401103";"Intake manifold absolute pressure";"44";"kPa";
"55086.626103";"Short term fuel % trim - Bank 1";"0";"%";
"55086.848103";"Long term fuel % trim - Bank 1";"-3.125";"%";
"55087.094103";"Calculated boost";"-0.57325";"bar";
"55087.094103";"Intake manifold absolute pressure";"44";"kPa";
"55087.338103";"Short term fuel % trim - Bank 1";"0";"%";
"55087.583103";"Long term fuel % trim - Bank 1";"-3.125";"%";
"55087.817103";"Calculated boost";"-0.55325";"bar";
"55087.817103";"Intake manifold absolute pressure";"46";"kPa";
"55088.031103";"Short term fuel % trim - Bank 1";"0";"%";
"55088.270103";"Long term fuel % trim - Bank 1";"-3.125";"%";
"55088.496103";"Calculated boost";"-0.56325";"bar";
"55088.496103";"Intake manifold absolute pressure";"45";"kPa";
"55088.720103";"Short term fuel % trim - Bank 1";"0";"%";
"55088.941103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55089.171103";"Calculated boost";"-0.57325";"bar";
"55089.171103";"Intake manifold absolute pressure";"44";"kPa";
"55089.419103";"Short term fuel % trim - Bank 1";"0";"%";
"55089.643103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55089.873103";"Calculated boost";"-0.57325";"bar";
"55089.873103";"Intake manifold absolute pressure";"44";"kPa";
"55090.105103";"Short term fuel % trim - Bank 1";"0";"%";
"55090.344103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55090.568103";"Calculated boost";"-0.58325";"bar";
"55090.568103";"Intake manifold absolute pressure";"43";"kPa";
"55090.829103";"Short term fuel % trim - Bank 1";"0";"%";
"55091.057103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55091.275103";"Calculated boost";"-0.58325";"bar";
"55091.275103";"Intake manifold absolute pressure";"43";"kPa";
"55091.518103";"Short term fuel % trim - Bank 1";"0";"%";
"55091.747103";"Long term fuel % trim - Bank 1";"-2.34375";"%";
"55091.971103";"Calculated boost";"-0.57325";"bar";
