time,"Calculated boost (bar)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Short term fuel % trim - Bank 1 (%)",
15:18:05.896,,,,0,
15:18:06.182,,,-3.125,,
15:18:06.401,-0.57325,44,,,
15:18:06.626,,,,0,
15:18:06.848,,,-3.125,,
15:18:07.094,-0.57325,44,,,
15:18:07.338,,,,0,
15:18:07.583,,,-3.125,,
15:18:07.817,-0.55325,46,,,
15:18:08.031,,,,0,
15:18:08.270,,,-3.125,,
15:18:08.496,-0.56325,45,,,
15:18:08.720,,,,0,
15:18:08.941,,,-2.34375,,
15:18:09.171,-0.57325,44,,,
15:18:09.419,,,,0,
15:18:09.643,,,-2.34375,,
15:18:09.873,-0.57325,44,,,
15:18:10.105,,,,0,
15:18:10.344,,,-2.34375,,
15:18:10.568,-0.58325,43,,,
15:18:10.829,,,,0,
15:18:11.057,,,-2.34375,,
15:18:11.275,-0.58325,43,,,
15:18:11.518,,,,0,
15:18:11.747,,,-2.34375,,
15:18:11.971,-0.57325,44,,,
15:18:12.217,,,,0,
15:18:12.472,,,-2.34375,,
15:18:12.717,-0.57325,44,,,
15:18:12.942,,,,0,
15:18:13.166,,,-2.34375,,
15:18:13.409,-0.56325,45,,,
15:18:13.667,,,,0,
15:18:13.917,,,-2.34375,,
15:18:14.144,-0.57325,44,,,
15:18:14.382,,,,0,
15:18:14.600,,,-2.34375,,
15:18:14.849,-0.56325,45,,,
15:18:15.117,,,,0,
15:18:15.338,,,-2.34375,,
15:18:15.561,-0.56325,45,,,
15:18:15.809,,,,0,
15:18:16.070,,,-2.34375,,
15:18:16.295,-0.55325,46,,,
15:18:16.534,,,,0,
15:18:16.750,,,-2.34375,,
15:18:16.974,-0.54325,47,,,
15:18:17.213,,,,0,
15:18:17.456,,,-2.34375,,
15:18:17.673,-0.54325,47,,,
15:18:17.949,,,,0,
15:18:18.175,,,-2.34375,,
15:18:18.416,-0.54325,47,,,
15:18:18.638,,,,0,
15:18:18.855,,,-2.34375,,
15:18:19.072,-0.56325,45,,,
15:18:19.309,,,,0,
15:18:19.523,,,-2.34375,,
15:18:19.751,-0.56325,45,,,
15:18:19.966,,,,0,
15:18:20.211,,,0,,
15:18:20.445,-0.57325,44,,,
15:18:20.681,,,,0,
15:18:20.949,,,0,,
15:18:21.189,-0.58325,43,,,
15:18:21.422,,,,0,
15:18:21.635,,,0,,
15:18:21.864,-0.58325,43,,,
15:18:22.111,,,,-5.46875,
15:18:22.378,,,0,,
15:18:22.607,-0.58325,43,,,
15:18:22.834,,,,-6.25,
15:18:23.050,,,0,,
15:18:23.290,-0.58325,43,,,
15:18:23.516,,,,-7.03125,
15:18:23.743,,,0,,
15:18:23.969,-0.59325,42,,,
15:18:24.192,,,,-10.15625,
15:18:24.431,,,0,,
15:18:24.709,-0.59325,42,,,
15:18:24.932,,,,-13.28125,
