Time,STFT,LTFT,Podcisnienie,Podcisnienie Diego,RPM,Benzyna,Gaz,Cisnienie
55086.401103,0.0,-3.125,44.0,,990.0,4.77,0.00,0.51
55087.094103,0.0,-3.125,44.0,,990.0,4.77,0.00,0.51
55087.817103,0.0,-3.125,46.0,,990.0,4.77,0.00,0.51
55088.496103,0.0,-2.34375,45.0,,990.0,4.77,0.00,0.51
55089.171103,0.0,-2.34375,44.0,,990.0,4.77,0.00,0.51
55089.873103,0.0,-2.34375,44.0,,990.0,4.77,0.00,0.51
55090.568103,0.0,-2.34375,43.0,,990.0,4.77,0.00,0.51
55091.275103,0.0,-2.34375,43.0,,990.0,4.77,0.00,0.51
55091.971103,0.0,-2.34375,44.0,,990.0,4.77,0.00,0.51
55092.717103,0.0,-2.34375,44.0,,990.0,4.77,0.00,0.51
55093.409103,0.0,-2.34375,45.0,,990.0,4.77,0.00,0.51
55094.144103,0.0,-2.34375,44.0,,990.0,4.77,0.00,0.51
55094.849103,0.0,-2.34375,45.0,,990.0,4.77,0.00,0.51
55095.561103,0.0,-2.34375,45.0,,990.0,4.77,0.00,0.51
55096.295103,0.0,-2.34375,46.0,,990.0,4.77,0.00,0.51
55096.974103,0.0,-2.34375,47.0,,990.0,4.77,0.00,0.51
55097.673103,0.0,-2.34375,47.0,,990.0,4.77,0.00,0.51
55098.416103,0.0,-2.34375,47.0,,990.0,4.77,0.00,0.51
55099.072103,0.0,-2.34375,45.0,,990.0,4.77,0.00,0.51
55099.751103,0.0,0.0,45.0,,990.0,4.77,0.00,0.51
55100.445103,0.0,0.0,44.0,,990.0,4.77,0.00,0.51
55101.189103,0.0,0.0,43.0,,990.0,4.77,0.00,0.51
55101.864103,-5.46875,0.0,43.0,,990.0,4.77,0.00,0.51
55102.607103,-6.25,0.0,43.0,,990.0,4.77,0.00,0.51
55103.290103,-7.03125,0.0,43.0,,990.0,4.77,0.00,0.51
55103.969103,-10.15625,0.0,42.0,,990.0,4.77,0.00,0.51
55104.709103,-13.28125,0.0,42.0,,990.0,4.77,0.00,0.51
55105.377103,-9.375,0.0,42.0,,990.0,4.77,0.00,0.51
55106.044103,-10.9375,0.0,42.0,,990.0,4.77,0.00,0.51
55106.749103,-14.0625,0.0,42.0,,990.0,4.77,0.00,0.51
55107.429103,-10.15625,0.0,42.0,,990.0,4.77,0.00,0.51
55108.173103,-7.8125,0.0,43.0,,990.0,4.77,0.00,0.51
55108.910103,-7.8125,0.0,42.0,,990.0,4.77,0.00,0.51
55109.615103,-10.9375,0.0,42.0,,990.0,4.77,0.00,0.51
55110.359103,-14.0625,0.0,41.0,,990.0,4.77,0.00,0.51
55111.067103,-17.1875,0.0,41.0,,990.0,4.77,0.00,0.51
55111.771103,-13.28125,0.0,41.0,,990.0,4.77,0.00,0.51
55112.495103,-13.28125,0.0,42.0,,990.0,4.77,0.00,0.51
55113.199103,-14.84375,0.0,42.0,,990.0,4.77,0.00,0.51
55113.939103,-17.96875,0.0,42.0,,990.0,4.77,0.00,0.51
55114.637103,-16.40625,0.0,41.0,,990.0,4.77,0.00,0.51
55115.351103,-16.40625,0.0,42.0,,990.0,4.77,0.00,0.51
55116.097103,-18.75,0.0,42.0,,990.0,4.77,0.00,0.51
55116.789103,-21.09375,0.0,42.0,,990.0,4.77,0.00,0.51
55117.470103,-17.96875,0.0,42.0,,990.0,4.77,0.00,0.51
55118.197103,-17.96875,0.0,42.0,,990.0,4.77,0.00,0.51
55118.930103,-21.09375,0.0,42.0,,990.0,4.77,0.00,0.51
55119.642103,-22.65625,0.0,42.0,,990.0,4.77,0.00,0.51
55120.472103,-21.09375,0.0,42.0,,990.0,4.77,0.00,0.51
55121.171103,-18.75,0.0,42.0,,990.0,4.77,0.00,0.51
55121.855103,-21.875,0.0,42.0,,990.0,4.77,0.00,0.51
55122.558103,-24.21875,0.0,42.0,,990.0,4.77,0.00,0.51
55123.280103,-24.21875,0.0,42.0,,990.0,4.77,0.00,0.51
55123.956103,-21.875,0.0,42.0,,990.0,4.77,0.00,0.51
55124.641103,-24.21875,0.0,42.0,,990.0,4.77,0.00,0.51
55125.363103,-24.21875,0.0,42.0,,990.0,4.77,0.00,0.51
55126.062103,-21.09375,0.0,42.0,,990.0,4.77,0.00,0.51
55126.716103,-22.65625,0.0,43.0,,990.0,4.63,0.00,0.52
55127.405103,-24.21875,0.0,42.0,,990.0,4.58,0.00,0.52
55128.087103,-24.21875,0.0,42.0,,990.0,4.58,0.00,0.52
55128.762103,-24.21875,0.0,42.0,,990.0,4.57,0.00,0.52
55129.482103,-24.21875,0.0,42.0,,990.0,4.53,0.00,0.52
55130.177103,-24.21875,0.0,42.0,,990.0,4.58,0.00,0.52
55130.902103,-24.21875,0.0,41.0,,990.0,4.57,0.00,0.52
55131.600103,-24.21875,0.0,41.0,,990.0,4.54,0.00,0.52
55132.312103,-24.21875,0.0,41.0,,990.0,4.54,0.00,0.52
55133.066103,-24.21875,0.0,41.0,,990.0,4.56,0.00,0.52
55133.773103,-24.21875,0.0,42.0,,990.0,4.48,0.00,0.54
55134.447103,-24.21875,0.0,41.0,,990.0,4.53,0.00,0.52
55135.175103,-24.21875,0.0,41.0,,990.0,4.51,0.00,0.52
55135.857103,-24.21875,0.0,41.0,,990.0,4.51,0.00,0.52
55136.552103,-24.21875,0.0,41.0,,990.0,4.51,0.00,0.52
55137.234103,-24.21875,0.0,41.0,,990.0,4.50,0.00,0.52
55137.930103,-24.21875,0.0,43.0,,990.0,4.76,0.00,0.51
55138.661103,-21.09375,0.0,44.0,,990.0,4.87,0.00,0.51
55139.338103,-18.75,0.0,44.0,,1000.0,4.86,0.00,0.51
55140.042103,-21.09375,0.0,44.0,,1000.0,4.78,0.00,..
55140.719103,-21.09375,0.0,45.0,,1010.0,4.76,0.00,..
55141.410103,-18.75,0.0,46.0,,950.0,5.09,0.00,..
55142.130103,-21.09375,0.0,45.0,,950.0,4.97,0.00,..
55142.811103,-22.65625,0.0,45.0,,950.0,4.99,0.00,..
55143.481103,-24.21875,-2.34375,47.0,,950.0,5.12,0.00,.
55144.183103,-21.09375,-2.34375,48.0,,950.0,5.27,0.00,.
55144.892103,-18.75,-2.34375,49.0,,970.0,5.32,0.00,.
55145.614103,-16.40625,-2.34375,49.0,,9.0,5.50,0.00,.
55146.330103,-18.75,-2.34375,50.0,,950.0,5.24,0.00,.
55147.049103,-21.09375,-2.34375,49.0,,990.0,5.13,0.00,.
55147.754103,-17.96875,-2.34375,47.0,,1020.0,4.01,0.00,..
55148.499103,-2.34375,-2.34375,46.0,,1010.0,4.07,0.00,.
55149.210103,-3.125,-2.34375,48.0,,980.0,4.22,0.00,
55149.929103,-3.90625,-2.34375,49.0,,970.0,3.93,0.00,.
55150.622103,-3.125,0.0,46.0,,1000.0,4.00,0.00,.
55151.308103,-2.34375,-2.34375,48.0,,960.0,4.30,0.00,.
55152.025103,-3.90625,-2.34375,49.0,,970.0,4.03,0.00,.
55152.753103,-2.34375,-2.34375,47.0,,990.0,4.17,0.00,.
55153.451103,0.0,-2.34375,48.0,,960.0,4.71,0.00,.
55154.125103,0.0,-3.125,52.0,,940.0,5.14,0.00,.
55154.844103,0.0,-2.34375,52.0,,980.0,4.52,0.00,.
55155.575103,0.78125,-2.34375,51.0,,990.0,4.45,0.00,.
55156.250103,1.5625,-2.34375,49.0,,1010.0,4.53,0.00,
55156.921103,0.78125,-2.34375,49.0,,980.0,4.38,0.00,
55157.591103,0.0,-2.34375,49.0,,970.0,4.48,0.00,.
