Time,STFT,LTFT,Pressure
55086.401103,0.0,-3.125,44.0
55087.094103,0.0,-3.125,44.0
55087.817103,0.0,-3.125,46.0
55088.496103,0.0,-2.34375,45.0
55089.171103,0.0,-2.34375,44.0
55089.873103,0.0,-2.34375,44.0
55090.568103,0.0,-2.34375,43.0
55091.275103,0.0,-2.34375,43.0
55091.971103,0.0,-2.34375,44.0
55092.717103,0.0,-2.34375,44.0
55093.409103,0.0,-2.34375,45.0
55094.144103,0.0,-2.34375,44.0
55094.849103,0.0,-2.34375,45.0
55095.561103,0.0,-2.34375,45.0
55096.295103,0.0,-2.34375,46.0
55096.974103,0.0,-2.34375,47.0
55097.673103,0.0,-2.34375,47.0
55098.416103,0.0,-2.34375,47.0
55099.072103,0.0,-2.34375,45.0
55099.751103,0.0,0.0,45.0
55100.445103,0.0,0.0,44.0
55101.189103,0.0,0.0,43.0
55101.864103,-5.46875,0.0,43.0
55102.607103,-6.25,0.0,43.0
55103.290103,-7.03125,0.0,43.0
55103.969103,-10.15625,0.0,42.0
55104.709103,-13.28125,0.0,42.0
55105.377103,-9.375,0.0,42.0
55106.044103,-10.9375,0.0,42.0
55106.749103,-14.0625,0.0,42.0
55107.429103,-10.15625,0.0,42.0
55108.173103,-7.8125,0.0,43.0
55108.910103,-7.8125,0.0,42.0
55109.615103,-10.9375,0.0,42.0
55110.359103,-14.0625,0.0,41.0
55111.067103,-17.1875,0.0,41.0
55111.771103,-13.28125,0.0,41.0
55112.495103,-13.28125,0.0,42.0
55113.199103,-14.84375,0.0,42.0
55113.939103,-17.96875,0.0,42.0
55114.637103,-16.40625,0.0,41.0
55115.351103,-16.40625,0.0,42.0
55116.097103,-18.75,0.0,42.0
55116.789103,-21.09375,0.0,42.0
55117.470103,-17.96875,0.0,42.0
55118.197103,-17.96875,0.0,42.0
55118.930103,-21.09375,0.0,42.0
55119.642103,-22.65625,0.0,42.0
55120.472103,-21.09375,0.0,42.0
55121.171103,-18.75,0.0,42.0
55121.855103,-21.875,0.0,42.0
55122.558103,-24.21875,0.0,42.0
55123.280103,-24.21875,0.0,42.0
55123.956103,-21.875,0.0,42.0
55124.641103,-24.21875,0.0,42.0
55125.363103,-24.21875,0.0,42.0
55126.062103,-21.09375,0.0,42.0
55126.716103,-22.65625,0.0,43.0
55127.405103,-24.21875,0.0,42.0
55128.087103,-24.21875,0.0,42.0
55128.762103,-24.21875,0.0,42.0
55129.482103,-24.21875,0.0,42.0
55130.177103,-24.21875,0.0,42.0
55130.902103,-24.21875,0.0,41.0
55131.600103,-24.21875,0.0,41.0
55132.312103,-24.21875,0.0,41.0
55133.066103,-24.21875,0.0,41.0
55133.773103,-24.21875,0.0,42.0
55134.447103,-24.21875,0.0,41.0
55135.175103,-24.21875,0.0,41.0
55135.857103,-24.21875,0.0,41.0
55136.552103,-24.21875,0.0,41.0
55137.234103,-24.21875,0.0,41.0
55137.930103,-24.21875,0.0,43.0
55138.661103,-21.09375,0.0,44.0
55139.338103,-18.75,0.0,44.0
55140.042103,-21.09375,0.0,44.0
55140.719103,-21.09375,0.0,45.0
55141.410103,-18.75,0.0,46.0
55142.130103,-21.09375,0.0,45.0
55142.811103,-22.65625,0.0,45.0
55143.481103,-24.21875,-2.34375,47.0
55144.183103,-21.09375,-2.34375,48.0
55144.892103,-18.75,-2.34375,49.0
55145.614103,-16.40625,-2.34375,49.0
55146.330103,-18.75,-2.34375,50.0
55147.049103,-21.09375,-2.34375,49.0
55147.754103,-17.96875,-2.34375,47.0
55148.499103,-2.34375,-2.34375,46.0
55149.210103,-3.125,-2.34375,48.0
55149.929103,-3.90625,-2.34375,49.0
55150.622103,-3.125,0.0,46.0
55151.308103,-2.34375,-2.34375,48.0
55152.025103,-3.90625,-2.34375,49.0
55152.753103,-2.34375,-2.34375,47.0
55153.451103,0.0,-2.34375,48.0
55154.125103,0.0,-3.125,52.0
55154.844103,0.0,-2.34375,52.0
55155.575103,0.78125,-2.34375,51.0
55156.250103,1.5625,-2.34375,49.0
55156.921103,0.78125,-2.34375,49.0
55157.591103,0.0,-2.34375,49.0
55158.294103,-3.90625,-2.34375,59.0
55158.997103,0.78125,-2.34375,59.0
55159.715103,6.25,-2.34375,60.0
55160.396103,2.34375,0.0,45.0
55161.092103,0.0,0.0,44.0
55161.781103,-3.90625,-2.34375,47.0
55162.454103,-7.8125,-2.34375,62.0
55163.193103,-13.28125,-2.34375,61.0
55163.890103,-17.1875,-2.34375,48.0
55164.594103,-18.75,0.0,42.0
55165.272103,-21.875,-3.125,43.0
55166.014103,-24.21875,-2.34375,78.0
55166.763103,-20.3125,-2.34375,60.0
55167.503103,-17.1875,0.0,38.0
55168.214103,-17.1875,0.0,42.0
55168.902103,-17.96875,0.0,44.0
55169.591103,-18.75,0.0,45.0
55170.285103,-20.3125,-3.125,46.0
55170.966103,-22.65625,-2.34375,67.0
55171.657103,-24.21875,-2.34375,57.0
55172.380103,-18.75,-2.34375,57.0
55173.081103,-14.84375,0.0,57.0
55173.778103,-14.0625,0.0,42.0
55174.489103,-17.1875,-2.34375,47.0
55175.154103,-20.3125,-2.34375,50.0
55175.819103,-21.875,-2.34375,46.0
55176.489103,-17.96875,-2.34375,48.0
55177.242103,-21.875,-2.34375,51.0
55177.901103,-21.09375,-2.34375,51.0
55178.582103,-21.09375,-2.34375,46.0
55179.272103,-17.1875,-2.34375,60.0
55179.969103,-21.09375,-2.34375,57.0
55180.657103,-21.875,-3.90625,50.0
55181.327103,-21.875,-3.125,68.0
55182.005103,-22.65625,-2.34375,53.0
55182.673103,-21.875,-2.34375,55.0
55183.401103,-22.65625,0.0,51.0
55184.091103,-21.09375,-2.34375,48.0
55184.844103,-20.3125,-2.34375,52.0
55185.560103,-21.875,-3.125,55.0
55186.265103,-24.21875,-2.34375,55.0
