TIME;RPM;GAZ;BENZYNA;PODCISNIENIE;CISNIENIE
55303.0;770;3,18;5,77;0,45;0,92
55303.5;780;3,20;5,81;0,45;0,92
55304.0;790;3,20;5,81;0,45;0,92
55304.5;790;3,18;5,76;0,45;0,92
55305.0;790;3,17;5,75;0,45;0,92
55307.0;770;3,14;5,69;0,45;0,92
55307.5;760;3,16;5,72;0,45;0,92
55308.0;770;3,12;5,65;0,45;0,92
55308.5;770;3,13;5,65;0,45;0,92
55309.0;760;3,12;5,63;0,45;0,92
55309.5;760;3,12;5,63;0,45;0,92
55310.0;760;3,14;5,68;0,45;0,90
55310.5;760;3,14;5,67;0,45;0,92
55311.0;760;3,16;5,72;0,44;0,92
55311.5;760;3,13;5,65;0,45;0,92
55312.0;760;3,05;5,48;0,44;0,92
55312.5;760;3,05;5,44;0,44;0,93
55313.0;750;3,06;5,47;0,44;0,92
55313.5;750;3,00;5,35;0,44;0,92
55314.0;760;3,00;5,37;0,44;0,92
55314.5;760;3,00;5,36;0,44;0,92
55315.0;750;2,96;5,29;0,44;0,92
55315.5;750;2,97;5,31;0,42;0,92
55316.0;740;3,00;5,38;0,44;0,92
55316.5;740;3,02;5,41;0,44;0,92
55317.0;740;3,00;5,38;0,42;0,93
55317.5;750;2,92;5,21;0,42;0,92
55318.0;750;2,93;5,22;0,42;0,92
55318.5;740;2,96;5,26;0,42;0,93
55319.0;740;2,95;5,26;0,42;0,92
55319.5;740;2,94;5,23;0,42;0,92
55320.0;750;2,92;5,21;0,42;0,92
55320.5;750;2,94;5,24;0,42;0,93
55321.0;750;2,91;5,18;0,42;0,92
55321.5;740;2,90;5,12;0,42;0,93
55322.0;740;2,92;5,15;0,44;0,92
55322.5;740;2,92;5,15;0,42;0,93
55323.0;740;2,92;5,16;0,42;0,92
55323.5;750;2,93;5,18;0,42;0,93
55324.0;750;2,94;5,19;0,42;0,93
55324.5;760;2,90;5,10;0,42;0,93
55325.0;760;2,92;5,16;0,42;0,93
55325.5;750;2,91;5,13;0,42;0,93
55326.0;740;2,97;5,29;0,42;0,92
55326.5;750;2,95;5,21;0,42;0,93
55327.0;750;2,96;5,24;0,42;0,92
