Time;RPM;Benzyna;Gaz;Podcisnienie;Cisnienie
55118.0;990;4.77;0.00;0.45;0.51
55118.5;990;4.63;0.00;0.44;0.52
55119.0;990;4.58;0.00;0.44;0.52
55119.5;990;4.58;0.00;0.44;0.52
55120.0;990;4.58;0.00;0.44;0.52
55120.5;990;4.57;0.00;0.44;0.52
55121.0;990;4.57;0.00;0.44;0.52
55121.5;990;4.53;0.00;0.44;0.52
55122.0;990;4.58;0.00;0.44;0.52
55122.5;980;4.54;0.00;0.44;0.52
55123.0;990;4.57;0.00;0.44;0.52
55123.5;990;4.54;0.00;0.44;0.52
55124.0;990;4.52;0.00;0.44;0.52
55124.5;990;4.54;0.00;0.44;0.52
55125.0;990;4.56;0.00;0.44;0.52
55125.5;990;4.54;0.00;0.44;0.52
55126.0;990;4.48;0.00;0.42;0.54
55126.5;990;4.53;0.00;0.44;0.52
55127.0;990;4.51;0.00;0.44;0.52
55127.5;990;4.56;0.00;0.44;0.52
55128.0;990;4.51;0.00;0.44;0.52
55128.5;990;4.51;0.00;0.44;0.52
55129.0;990;4.50;0.00;0.44;0.52
55129.5;990;4.62;0.00;0.45;0.51
55130.0;990;4.76;0.00;0.45;0.51
55130.5;990;4.87;0.00;0.45;0.51
55131.0;1000;4.88;0.00;0.45;0.51
55131.5;1000;4.86;0.00;0.45;0.51
55132.0;1000;4.78;0.00;0.47;..
55132.5;1010;4.76;0.00;0.47;..
55133.0;990;5.09;0.00;0.47;..
55133.5;950;5.09;0.00;0.47;..
55134.0;950;4.97;0.00;0.47;..
55134.5;950;4.85;0.00;0.47;..
55135.0;950;4.99;0.00;0.47;..
55135.5;950;5.12;0.00;0.49;.
55136.0;950;5.27;0.00;0.52;.
55136.5;960;5.42;0.00;0.52;.
55137.0;970;5.32;0.00;0.50;.
55137.5;9.0;5.50;0.00;0.50;.
55138.0;950;5.41;0.00;0.52;.
55138.5;950;5.24;0.00;0.50;.
55139.0;990;5.13;0.00;0.49;.
55139.5;1000;5.05;0.00;0.49;.
55140.0;1020;4.01;0.00;0.47;..
55140.5;1010;4.07;0.00;0.49;.
55141.0;980;4.22;0.00;0.50;
55141.5;950;4.24;0.00;0.52;.
55142.0;970;3.93;0.00;0.49;.
55142.5;1000;4.00;0.00;0.49;.
55143.0;990;4.25;0.00;0.50;.
55143.5;960;4.30;0.00;0.52;.
55144.0;970;4.03;0.00;0.50;.
55144.5;990;4.34;0.00;0.50;.
55145.0;990;4.17;0.00;0.50;.
55145.5;960;4.71;0.00;0.54;.
55146.0;940;5.14;0.00;0.55;.
55146.5;960;4.56;0.00;0.54;.
55147.0;980;4.52;0.00;0.54;.
55147.5;990;4.45;0.00;0.52;.
55148.0;1010;4.30;0.00;0.50;
55148.5;1010;4.53;0.00;0.50;
55149.0;980;4.38;0.00;0.50;
55149.5;970;4.48;0.00;0.52;.
55150.0;1120;6.14;0.00;0.60;...
55150.5;1290;5.91;0.00;0.60;...
55151.0;1280;6.24;0.00;0.62;1.43
55151.5;1290;6.22;0.00;0.60;1.39
55152.0;1240;3.32;1.00;0.45;1.48
